listingkey,listingnumber,status,creditgrade,amount,startdate,enddate,memberkey,groupkey
0061342175163944780AD27,343856,Completed,B,5000,"2008-06-03 15:41:04","2008-06-10 15:42:50",7FAC34160178874381203B7,NULL
0105342298048794124233F,349576,Expired,HR,3000,"2008-06-12 15:03:22","2008-06-19 15:04:30",91F93423302168465EDA062,NULL
02033422374379567921AC6,348647,Expired,HR,16000,"2008-06-11 10:49:47","2008-06-18 10:49:47",B14F3422905132798727893,NULL
020B34222022213168BD5D0,342726,Expired,B,5750,"2008-06-01 21:27:42","2008-06-08 21:30:46",5A4C3393111031525B9EE3D,NULL
024E342372452879079FAAF,347506,Expired,HR,3000,"2008-06-09 15:52:16","2008-06-16 15:57:17",9E3334241132421081AF39B,NULL
027B3423841114111D5546A,347789,Expired,C,10000,"2008-06-10 05:39:44","2008-06-17 05:42:06",173D3422105292147D7DA46,NULL
028D3422716449057F8DD5B,347949,Expired,B,25000,"2008-06-10 10:47:08","2008-06-17 10:48:05",B7253422905516510E179C3,NULL
030E3423440322262C2E784,347290,Expired,D,7400,"2008-06-09 11:21:00","2008-06-16 11:25:32",8182342083392969241B38B,NULL
037B3422885425764268D73,350134,Expired,D,1600,"2008-06-13 14:13:53","2008-06-20 14:17:20",B5523423144065363EF32B6,NULL
03873424217012625D4820B,350945,Expired,C,7500,"2008-06-15 16:55:41","2008-06-22 17:00:34",ECD63422139390883A7AD33,NULL
03893422885110828515D70,344822,Expired,D,4000,"2008-06-04 21:33:36","2008-06-11 21:34:14",38D83423040092969534D6E,NULL
03E43423797208624BE028A,344857,Expired,E,5000,"2008-06-05 00:56:27","2008-06-12 01:01:04",BFEE33678925389014DCC7C,NULL
041234227574012002F9B21,348295,Expired,HR,25000,"2008-06-10 18:13:30","2008-06-17 18:14:45",8BEC33743713812376A88A7,CD0E3364909037313F32874
041A342283230533310180A,343546,Expired,HR,5000,"2008-06-09 08:42:25","2008-06-16 08:44:29",F0CF3423176620150E49AEB,NULL
048E3422786362947F5C3B6,343709,Completed,B,7400,"2008-06-03 13:56:08","2008-06-10 13:58:23",1F2D3382671141558291742,ACFB3365095848727895936
04C73421900975153DAE523,342546,Expired,D,3500,"2008-06-01 13:37:40","2008-06-08 13:39:50",913D342137305496379BFB9,NULL
050A3421749085391874B90,340851,Expired,D,5000,"2008-06-09 22:12:03","2008-06-16 22:13:53",74DE3420391692869202E11,NULL
05983422212754642F0DA9D,347155,Expired,HR,1000,"2008-06-09 07:11:07","2008-06-16 07:13:24",BBC8341914989956206C690,NULL
05B73422244841546F151FC,347828,Expired,E,20000,"2008-06-11 07:04:38","2008-06-18 07:07:24",EB683419610733664A3D878,NULL
05BC3423360321003FB78A4,344827,Expired,D,7500,"2008-06-04 21:44:54","2008-06-11 21:49:32",DD673391951147192EBDCBC,NULL
072C3423003563118BA9F94,344212,Expired,E,3000,"2008-06-04 08:24:45","2008-06-11 08:25:41",2E733388646361194D387B6,NULL
076E342364986273989D365,346777,Completed,D,4000,"2008-06-10 20:39:51","2008-06-17 18:52:38",5D633415763905699CF0267,4CD633648481725029E84C7
0776342416965511183AC58,350642,Expired,E,3000,"2008-06-14 18:47:44","2008-06-21 18:52:29",2DEB34137677573711920CE,NULL
078C34221952581207C1EDC,345653,Expired,E,5000,"2008-06-05 23:15:04","2008-06-12 23:18:38",86AF3422994785539967837,NULL
07B73422071154849B7B732,344516,Expired,B,5000,"2008-06-04 14:56:34","2008-06-11 15:00:44",FACF3422713677365361C3D,NULL
07DA34216995712095EF398,342994,Expired,E,3750,"2008-06-02 11:51:51","2008-06-09 11:53:52",826B341246792878350CF75,NULL
08EE34226144623452ED6C3,343172,Expired,D,5000,"2008-06-02 16:07:29","2008-06-09 16:10:13",EB3034232527542243DD0F1,NULL
094E34238147485401979EF,346143,Expired,E,15000,"2008-06-06 18:10:22","2008-06-13 18:13:38",6E5C34108132124783D0122,NULL
09AF3422486052753B8BE8C,350267,Expired,HR,2500,"2008-06-13 19:41:55","2008-06-20 19:45:27",D3113423025315972C94059,NULL
0A1434228680788870B5066,350373,Expired,B,20000,"2008-06-14 05:35:07","2008-06-21 05:35:13",9FA8342230144541433F854,NULL
0AEE3422672810835632D92,343715,Expired,HR,18000,"2008-06-03 12:57:58","2008-06-10 13:02:01",566D34190646909659A6F95,NULL
0C183423136776474BBFEB5,345616,Completed,HR,2800,"2008-06-05 21:12:42","2008-06-12 21:16:07",E6B9342280951313379C48B,NULL
0C363423432138835E0F5D5,347836,Expired,HR,3000,"2008-06-10 08:11:30","2008-06-17 08:13:33",5AB4342060663262531B969,NULL
0CE3342201222300869C109,340061,Expired,E,5000,"2008-06-06 09:14:31","2008-06-13 09:15:28",31BD3384921464785389E87,NULL
0D4C3422148083772A1EBF0,342677,Expired,E,1875,"2008-06-01 19:14:20","2008-06-08 19:19:08",1A983388433550519BDDCBB,NULL
0DCD3422004908875F109F4,343797,Expired,B,20000,"2008-06-03 14:35:27","2008-06-10 14:36:43",49FB342167464809433374F,NULL
0F273423248693062B23C82,348696,Expired,E,2500,"2008-06-11 12:18:41","2008-06-18 12:21:38",45933423366623585D41A26,NULL
100B3422848436087B05553,345764,Expired,D,10000,"2008-06-06 08:04:43","2008-06-13 08:07:58",60C1342358910847474989A,NULL
111F3423060628404D6413D,350357,Expired,HR,1500,"2008-06-14 01:25:41","2008-06-21 01:29:08",477734066773888703D3399,NULL
12683424193092716574FCD,350120,Expired,D,6500,"2008-06-13 13:42:42","2008-06-20 13:45:31",D6D13422514767483DA754A,NULL
12C0342219248020007E8CE,347485,Expired,E,2000,"2008-06-09 15:59:41","2008-06-16 16:02:18",947B342269414546585DD3C,NULL
14A43422633747746C9C16F,345193,Expired,AA,3000,"2008-06-05 12:16:34","2008-06-12 12:19:43",6CA33421856615461B64F1A,NULL
14CA342178913638437077E,342701,Expired,E,5000,"2008-06-01 20:17:47","2008-06-08 20:20:17",C79C342088025536826389D,NULL
14EA3423076686246122CF6,349496,Expired,D,1500,"2008-06-12 13:01:25","2008-06-19 13:10:14",B19B3365879129947E95A9F,NULL
15743421706174718C4FE19,344588,Expired,HR,4000,"2008-06-04 16:21:53","2008-06-11 16:22:07",C2763422466442421CB99B4,NULL
16903423991026657F93998,349531,Completed,A,6000,"2008-06-12 13:56:22","2008-06-12 18:35:38",3D4A3365123796422AD83F5,NULL
16EA34232690318755CAC60,343741,Expired,D,5000,"2008-06-03 13:34:55","2008-06-10 13:38:12",7B4B3423616577411B77CD2,NULL
17BC3422660484187AC2DDD,340546,Expired,B,8500,"2008-06-03 08:56:40","2008-06-10 08:58:40",9DF0341843728426131C7E5,NULL
18C834229733671649B5A1E,347104,Completed,C,3500,"2008-06-09 14:10:52","2008-06-13 11:01:43",DF963381105599886D43148,FEF83377364176536637E50
18F93424439946320BD44AB,349600,Completed,D,4500,"2008-06-12 15:45:34","2008-06-19 15:46:44",93823421131954713850FF4,NULL
195734226930237372C8A5E,346804,Completed,D,1500,"2008-06-08 15:23:46","2008-06-15 15:27:00",F7C2342221602884120B35C,NULL
1A953421981092225D9277D,345702,Expired,C,15000,"2008-06-06 05:50:06","2008-06-13 05:50:58",DD343421874004386FFF37C,NULL
1B533423934345808D671B5,350462,Expired,E,3000,"2008-06-14 10:26:43","2008-06-21 10:30:06",4B2E34219201696155F4E4D,NULL
1B893422739653040CC20A5,351005,Expired,D,7500,"2008-06-15 19:08:08","2008-06-22 19:15:50",A46F3408271873861801A72,NULL
1C0434219246935306A3E69,342789,Completed,C,2500,"2008-06-02 04:28:35","2008-06-02 10:56:11",E63C3421229558243E9F5D3,NULL
1C4E34229681290465BF676,349585,Expired,HR,3000,"2008-06-12 15:19:27","2008-06-19 15:19:47",43D43423985478842C78E36,NULL
1C8E342345247754183B3DB,342642,Expired,E,3000,"2008-06-01 17:39:01","2008-06-08 17:42:24",7E8734201372839265729DF,CD0E3364909037313F32874
1CE434226206248535A452A,344889,Expired,HR,2000,"2008-06-05 04:38:44","2008-06-12 04:41:48",A1F534217104129079189BE,NULL
1CF7342275485747305B938,342616,Expired,HR,1500,"2008-06-01 16:49:09","2008-06-08 16:51:33",A1663418300773137F9A79D,NULL
1D5434228512089063A073C,349574,Expired,HR,5000,"2008-06-12 15:13:31","2008-06-19 15:14:45",97723423769022979485994,NULL
1D683423095150418F55815,346190,Completed,C,1000,"2008-06-06 19:39:49","2008-06-13 19:45:12",772C3422070804994E28238,NULL
1D8D3423082287869DF6BED,350916,Expired,C,6500,"2008-06-15 15:50:26","2008-06-22 15:54:54",D4F23406804461520343A63,NULL
1E1D3423489754063051979,348594,Expired,D,5000,"2008-06-11 09:38:06","2008-06-18 09:38:26",A191342311851792847C0C7,NULL
1EC93423219920310CDC9A2,350478,Expired,HR,3000,"2008-06-14 11:32:51","2008-06-21 11:35:32",D02C34241583789782395EF,NULL
1F103423528337306CBF235,345607,Completed,AA,8280,"2008-06-05 21:23:31","2008-06-12 21:26:10",29873423241252125628934,NULL
1F353422492130633A8BEEE,343367,Expired,HR,2500,"2008-06-02 22:06:43","2008-06-09 22:09:16",74DF3417587643303428F2F,NULL
1F873423078337166B90E3E,342569,Completed,C,12000,"2008-06-02 17:54:00","2008-06-09 17:54:18",61C03382503305859B5D79C,6C2E3384236387493493CB6
1F8C342180680624335559D,342813,Expired,D,5000,"2008-06-04 10:17:17","2008-06-11 10:17:51",C6A53422233551549B040D7,NULL
1FB53423797776090B4588F,346521,Expired,C,12000,"2008-06-07 16:48:07","2008-06-14 16:49:45",6AE03420674445431946DD0,DB363384707726490E43021
207A3422872781669E3553A,347669,Completed,E,3000,"2008-06-09 20:05:55","2008-06-16 20:07:17",826B341246792878350CF75,NULL
20F6342192913455752DCE3,346086,Expired,HR,3000,"2008-06-06 16:52:34","2008-06-13 16:57:35",D9CC33940093406022A44EA,NULL
21343424270180449E45FEB,350744,Expired,C,25000,"2008-06-15 07:24:16","2008-06-22 07:26:54",23913423451674504B73DB8,NULL
21393422707161743F76991,349233,Expired,D,4000,"2008-06-12 05:37:05","2008-06-19 05:37:23",4E1F3380381577949F98471,783C3371218786870A73D20
242034190776738166A72AF,312012,Expired,D,5500,"2008-06-02 14:47:16","2008-06-09 14:47:28",F4753418244300490ACA8CC,NULL
2465341519365771995DF85,293793,Expired,C,8000,"2008-06-10 11:43:55","2008-06-17 11:45:16",78B23414593814745977D52,NULL
24763424441511072CF35E0,349845,Expired,E,3000,"2008-06-13 04:10:10","2008-06-20 04:14:31",76CD3423180607794A9E268,NULL
25703423042222654DFABDF,344344,Expired,B,1000,"2008-06-04 11:45:56","2008-06-11 11:46:17",290E3421433234338F95173,NULL
25F73423534222922D1B660,346272,Expired,E,3500,"2008-06-07 00:13:27","2008-06-14 00:18:23",6EE3341268378382618D28B,NULL
260B342247260965054A171,345578,Expired,AA,25000,"2008-06-06 07:34:59","2008-06-13 07:37:37",24563366625747762DE020B,2D523366875352960F3C033
26153423264256390E141D6,350756,Expired,HR,2000,"2008-06-15 08:05:20","2008-06-22 08:07:23",D040342388245784897E4BC,NULL
26AB342222671962443AC68,343496,Completed,D,7500,"2008-06-03 09:11:54","2008-06-10 09:13:52",C4CE3422667766771E46A01,NULL
26C334234418027795A783B,346913,Completed,B,6000,"2008-06-08 15:43:09","2008-06-15 15:47:04",357C338157387467932F11F,NULL
26FD34227535952756650B3,342832,Expired,HR,5000,"2008-06-02 07:15:31","2008-06-09 07:20:20",61CF342334624193614BCF4,NULL
275B34237553255312B9C76,346471,Expired,D,4500,"2008-06-07 13:24:09","2008-06-14 13:26:15",D8803423151774999D76581,NULL
282D342343542034574A537,347802,Expired,HR,1000,"2008-06-10 06:19:48","2008-06-17 06:22:28",D25A3417913159360A18FA8,NULL
29813423652020782DC259B,349977,Expired,B,20000,"2008-06-13 09:56:47","2008-06-20 10:00:27",71073420015775211167C31,NULL
29CB3423832297045643FC5,349494,Expired,HR,5000,"2008-06-12 12:58:43","2008-06-19 13:00:01",920F342399678372238D2B4,NULL
29F33423508470766F97CD6,348076,Expired,B,25000,"2008-06-10 12:53:23","2008-06-17 12:58:02",08923423095492813AD22DA,NULL
2BD4342263987792230E5AD,344237,Expired,E,2800,"2008-06-04 09:13:18","2008-06-11 09:17:09",2AFD3417842372839F4D8E6,NULL
2BD6342446606045231904A,350091,Expired,C,5000,"2008-06-13 13:00:50","2008-06-20 13:04:34",DA113423782414567797B35,NULL
2C933423060212710E152C1,349974,Expired,HR,3000,"2008-06-13 09:59:23","2008-06-20 10:00:20",B97C3421825236234F42365,NULL
2CA1342260361101537050F,345287,Expired,D,2500,"2008-06-05 14:02:10","2008-06-12 14:04:00",F2653365236453770591732,NULL
2CCA342173366469193F04C,344990,Expired,HR,3000,"2008-06-05 07:55:46","2008-06-12 07:55:50",23BF3365022045497FF5670,214933649218625265C08F1
2CEC34234701908672B00E3,350144,Expired,HR,25000,"2008-06-13 14:18:07","2008-06-20 14:22:44",B2573422250230289C266CE,NULL
2D04342347592208829A624,348581,Expired,HR,1000,"2008-06-11 09:08:51","2008-06-18 09:11:29",B9C2341665762501455F3ED,NULL
2DB33423418523333C07F46,346126,Expired,D,5500,"2008-06-06 17:41:43","2008-06-13 17:43:07",A09D33656256729676B6573,NULL
2DC93422071022388C18142,342731,Expired,E,4000,"2008-06-01 21:58:37","2008-06-08 22:01:01",910D3423335581641896319,NULL
30083424279207540713E6F,348747,Expired,E,3000,"2008-06-11 13:36:06","2008-06-18 13:38:29",1F6B34230087285463E73D3,NULL
32AC342184640117527639B,345667,Expired,HR,4500,"2008-06-06 00:13:32","2008-06-13 00:14:13",E02B3422532510932EF5E44,NULL
332534228978899770FE374,343141,Expired,HR,3000,"2008-06-02 15:18:59","2008-06-09 15:19:26",D96234222893345472A6CF6,NULL
336A3422937649243E3D0BB,347079,Expired,E,1100,"2008-06-08 23:52:56","2008-06-15 23:53:37",295634229389908389AF90A,NULL
